Name,Abductive reasoning,Active listening,Clarifying,Critiquing,Decision making,Deductive reasoning,Defining the problem,Delegation,Digging deep,Drawing,Explaining in simple terms,Facilitating,Goal setting,Identifying core components,Identifying key insights,Identifying known and unknown,Identifying obstacles,Identifying patterns,Improvising,Inductive reasoning,Mentoring,Observing,Pivoting,Persuading,Prioritizing,Record-keeping,Reframing,Representing ideas visually,Story building,Story telling,Synthesizing information,Trust building,Understanding tradeoffs,Working under time pressure,Using materials creatively,Physical prototyping,Digital prototyping
1557143,5.548926014,-7.577565632,6.169451074,3.114558473,-5.405727924,-7.529832936,3.066825776,-6.527446301,-4.713603819,7.076372315,4.761336516,1.420047733,6.145584726,6.002386635,-5.119331742,-3.424821002,2.565632458,-4.069212411,-6.789976134,-8.556085919,3.568019093,-0.513126492,1.324582339,-3.806682578,3.472553699,-6.718377088,-6.026252983,3.806682578,-5.429594272,6.933174224,-0.632458234,-0.178997613,2.875894988,0.894988067,-4.021479714,-0.656324582,-6.575178998
1563043,0.584725537,2.947494033,1.515513126,6.264916468,6.002386635,4.570405728,0.727923628,4.093078759,-1.038186158,-5.644391408,7.243436754,1.396181384,2.565632458,0.178997613,-0.369928401,0.107398568,3.424821002,0.369928401,-1.658711217,2.040572792,4.785202864,3.544152745,2.517899761,-2.613365155,-3.210023866,-4.785202864,-4.761336516,-6.503579952,-3.090692124,-7.362768496,-4.045346062,-2.422434368,-6.217183771,-4.355608592,-1.754176611,3.758949881,3.472553699
1563047,1.849642005,6.503579952,3.186157518,3.233890215,-4.116945107,-1.968973747,0.274463007,3.233890215,-1.778042959,-5.214797136,2.589498807,2.613365155,1.491646778,-0.84725537,-0.775656325,5.143198091,-2.326968974,-0.608591885,-2.54176611,-0.584725537,-4.164677804,0.918854415,1.420047733,-3.162291169,-5.167064439,-3.162291169,0.513126492,1.945107399,-0.990453461,-4.809069212,1.348448687,4.284009547,-4.37947494,2.971360382,0.656324582,1.945107399,2.255369928
1563312,3.973747017,3.973747017,0.560859189,-3.042959427,1.587112172,2.99522673,7.052505967,-4.594272076,1.658711217,-6.503579952,0.680190931,1.587112172,-0.035799523,0.775656325,-2.828162291,2.875894988,-2.23150358,0.465393795,-6.527446301,6.575178998,0.08353222,6.503579952,4.761336516,6.07398568,2.303102625,-7.744630072,-1.658711217,-2.828162291,2.112171838,-3.377088305,3.377088305,5.978520286,-5.883054893,5.119331742,5.883054893,-6.933174224,3.806682578
1563315,-8.794749403,6.455847255,5.071599045,1.30071599,4.331742243,5.023866348,-4.68973747,-6.766109785,-1.706443914,4.880668258,5.548926014,-1.062052506,1.873508353,1.515513126,-2.350835322,1.014319809,-3.162291169,-7.505966587,-6.980906921,-7.744630072,1.443914081,6.957040573,-8.293556086,-6.909307876,1.61097852,1.205250597,-2.255369928,-3.281622912,1.825775656,7.291169451,-4.68973747,-5.668257757,-2.183770883,1.396181384,-8.723150358,-4.713603819,-4.618138425
1563316,3.353221957,0.608591885,-4.665871122,-3.257756563,-3.019093079,5.477326969,0.53699284,-0.441527446,-1.46778043,-1.348448687,1.133651551,-2.422434368,-4.546539379,0.131264916,2.398568019,1.133651551,0.990453461,4.260143198,3.377088305,-0.417661098,4.498806683,-5.596658711,4.785202864,-2.971360382,-2.756563246,-4.164677804,-1.443914081,-4.164677804,-7.529832936,-7.386634845,3.472553699,2.23150358,1.372315036,5.859188544,-2.661097852,-0.441527446,-0.513126492
1563329,0.990453461,1.062052506,1.46778043,1.634844869,2.517899761,2.85202864,1.443914081,4.737470167,4.880668258,1.324582339,3.854415274,3.806682578,3.210023866,3.830548926,3.663484487,2.016706444,5.071599045,5.954653938,5.644391408,1.897374702,2.517899761,4.331742243,2.6849642,1.873508353,4.952267303,5.167064439,6.479713604,5.31026253,0.871121718,0.799522673,3.329355609,3.042959427,1.968973747,1.539379475,1.754176611,3.663484487,1.634844869
1563332,4.23627685,6.575178998,4.116945107,6.217183771,6.885441527,2.99522673,-6.097852029,6.909307876,-7.267303103,-5.023866348,-3.568019093,4.737470167,5.62052506,-5.334128878,3.639618138,2.016706444,-0.274463007,5.859188544,-3.639618138,1.754176611,5.429594272,-0.322195704,0.393794749,-1.849642005,1.1575179,6.38424821,-2.398568019,-1.276849642,-4.403341289,1.61097852,5.262529833,4.474940334,2.947494033,6.575178998,-6.980906921,4.976133652,-8.269689737
1563381,1.61097852,-1.420047733,-7.482100239,2.54176611,-4.284009547,-1.706443914,3.902147971,-3.687350835,-8.317422434,5.930787589,-2.517899761,4.68973747,-6.766109785,-7.696897375,0.84725537,1.372315036,-2.875894988,-5.739856802,4.546539379,6.312649165,2.54176611,4.284009547,-8.150357995,-1.801909308,1.324582339,3.496420048,3.735083532,-7.529832936,-3.806682578,-2.661097852,4.116945107,1.491646778,-4.880668258,-5.357995227,0.560859189,-5.405727924,-5.143198091
1563390,2.875894988,4.737470167,2.875894988,4.737470167,3.854415274,0.346062053,3.782816229,4.785202864,-1.109785203,-2.374701671,1.181384248,-0.489260143,3.114558473,1.085918854,-4.116945107,5.525059666,6.742243437,3.878281623,-3.735083532,-4.331742243,6.670644391,2.159904535,-2.064439141,1.46778043,2.899761337,1.945107399,-5.548926014,-7.792362768,-1.515513126,-1.038186158,4.37947494,7.3150358,4.498806683,2.804295943,-4.928400955,6.455847255,-5.978520286
