Name,Abductive reasoning,Active listening,Clarifying,Critiquing,Decision making,Deductive reasoning,Defining the problem,Delegation,Digging deep,Drawing,Explaining in simple terms,Facilitating,Goal setting,Identifying core components,Identifying key insights,Identifying known and unknown,Identifying obstacles,Identifying patterns,Improvising,Inductive reasoning,Mentoring,Observing,Pivoting,Persuading,Prioritizing,Record-keeping,Reframing,Representing ideas visually,Story building,Story telling,Synthesizing information,Trust building,Understanding tradeoffs,Working under time pressure,Using materials creatively,Physical prototyping,Digital prototyping
1557143,7.101910828,5.561305732,5.390127389,4.040605096,-3.041401274,-3.499203822,6.552547771,4.279458599,-4.777070064,-2.336783439,-3.272292994,-4.65366242,-5.493630573,8.316082803,6.902866242,-3.714171975,7.898089172,5.593152866,-5.214968153,8.40366242,-5.334394904,-1.269904459,-2.428343949,8.260350318,5.063694268,-3.674363057,2.046178344,8.499203822,5.589171975,3.698248408,4.450636943,6.317675159,2.101910828,9.000796178,3.670382166,0.792197452,7.117834395
1563043,6.721311475,7.68954918,7.838114754,6.101434426,7.766393443,7.177254098,8.227459016,8.130122951,8.401639344,8.222336066,7.715163934,6.224385246,8.545081967,9.18545082,8.678278689,8.089139344,6.18852459,5.640368852,6.485655738,4.74897541,10,9.021516393,9.415983607,7.720286885,8.360655738,7.443647541,9.272540984,8.355532787,7.68442623,8.406762295,9.25204918,9.482581967,9.426229508,9.042008197,9.43647541,8.642418033,9.774590164
1563047,2.158808933,-2.277450372,-0.783188586,-2.564361042,2.379032258,-3.521246898,2.092121588,-3.907413151,-0.899503722,6.897487593,1.74162531,3.136631514,-0.083746898,3.867090571,4.17028536,1.843207196,1.972704715,-0.180676179,3.199441687,5.984026055,-3.290942928,-2.640353598,3.121898263,-5.929745658,-4.385856079,-4.827078164,0.835918114,4.910825062,-2.205334988,-1.058467742,-1.152295285,3.270006203,4.168734491,-5.006978908,5.271401985,7.162686104,5.331885856
1563312,4.215686275,2.961601307,6.968954248,4.178921569,4.722222222,5.886437908,1.887254902,7.071078431,2.973856209,7.504084967,6.25,-2.520424837,4.918300654,8.272058824,2.214052288,1.286764706,0.620915033,1.262254902,8.602941176,1.368464052,2.598039216,2.945261438,5.678104575,-2.242647059,2.973856209,2.634803922,6.151960784,8.263888889,-0.473856209,5.886437908,7.508169935,6.090686275,4.183006536,7.928921569,4.550653595,5.74754902,9.10130719
1563315,9.128630705,-0.886929461,2.334024896,1.737551867,6.742738589,4.196058091,8.080912863,7.31846473,8.589211618,-5.326763485,-3.72406639,4.393153527,-2.427385892,4.030082988,6.877593361,-5.420124481,8.838174274,-2.961618257,8.309128631,-4.652489627,-0.560165975,-5.845435685,7.043568465,9.310165975,5.394190871,-4.289419087,-3.018672199,2.567427386,8.651452282,7.889004149,-1.504149378,2.62966805,0.912863071,7.038381743,5.487551867,9.330912863,5.290456432
1563316,4.252427184,5.752427184,7.174757282,4.014563107,6.640776699,-4.169902913,7.504854369,4.849514563,8.368932039,-1.859223301,5.54368932,4.713592233,9.786407767,6.587378641,1.67961165,0.033980583,2.427184466,-4.577669903,5.737864078,7.393203883,-8.116504854,5.927184466,2.262135922,9.82038835,7.281553398,0.936893204,5.854368932,-4.800970874,3.067961165,9.461165049,6.72815534,6.597087379,-2.776699029,1.325242718,2.86407767,3.975728155,3.766990291
1563329,2.365145228,4.797717842,6.151452282,3.687759336,2.261410788,4.859958506,6.213692946,2.42219917,4.398340249,5.12966805,3.122406639,2.940871369,2.136929461,4.942946058,6.919087137,7.52593361,2.738589212,4.548755187,5.238589212,8.044605809,2.717842324,4.942946058,4.304979253,5.119294606,4.190871369,2.225103734,1.919087137,3.106846473,6.078838174,3.739626556,1.06846473,2.339211618,1.742738589,4.133817427,3.122406639,3.521784232,2.095435685
1563332,2.582781457,3.581677704,1.666666667,-1.837748344,6.445916115,5.193156733,7.516556291,-7.069536424,8.543046358,8.173289183,8.112582781,7.831125828,2.737306843,7.400662252,6.412803532,-1.94812362,5.584988962,5.347682119,5.728476821,8.09602649,-3.620309051,7.753863135,5.927152318,2.687637969,-4.701986755,-2.422737307,5.816777042,7.124724062,5.209713024,6.959161148,6.942604857,-2.477924945,-1.434878587,-2.731788079,7.98013245,8.934878587,7.06401766
1563381,3.586698337,6.609263658,7.589073634,5.385985748,5.41567696,3.070071259,2.102137767,2.08432304,9.334916865,-6.644893112,-0.771971496,3.818289786,2.517814727,4.875296912,7.327790974,-4.281472684,4.299287411,7.416864608,5.783847981,2.393111639,-2.185273159,5.065320665,2.957244656,8.117577197,1.496437055,-0.611638955,3.456057007,6.241092637,7.458432304,6.538004751,7.280285036,-0.480997625,4.394299287,-0.46912114,4.881235154,2.488123515,-2.232779097
1563390,3.078651685,5.353932584,5.157303371,2.443820225,3.865168539,5.691011236,8.325842697,6.376404494,6.539325843,7.960674157,7.719101124,2.443820225,1.97752809,4.387640449,6.97752809,7.54494382,4.471910112,6.43258427,1.876404494,4.556179775,2.516853933,5.915730337,2.258426966,2.196629213,4.696629213,8.814606742,7.629213483,8.556179775,4.314606742,9.061797753,1.808988764,1.657303371,4.157303371,1.084269663,9.112359551,9.679775281,9.168539326
